Word                     Occurences               
--------------------------------------
a                        121                      
abandon                  1                        
abominate                1                        
aboriginal               1                        
about                    10                       
abouthowever             1                        
absent                   1                        
account                  2                        
act                      1                        
activity                 1                        
adventurous              1                        
affghanistan             1                        
after                    1                        
afternoon                1                        
afterwards               1                        
again                    2                        
against                  3                        
ago                      2                        
agonever                 1                        
ah                       1                        
aint                     1                        
air                      3                        
all                      25                       
alleys                   1                        
almost                   4                        
aloft                    2                        
along                    1                        
already                  1                        
always                   2                        
am                       4                        
amazingly                1                        
american                 2                        
among                    2                        
amount                   1                        
an                       9                        
and                      122                      
angel                    1                        
another                  1                        
answer                   1                        
anxious                  1                        
any                      4                        
anything                 1                        
archangel                1                        
are                      9                        
arm                      1                        
around                   1                        
arrived                  1                        
artist                   1                        
as                       36                       
ash                      1                        
ashes                    1                        
asphaltic                1                        
assure                   1                        
astern                   1                        
at                       12                       
athirst                  1                        
atmosphere               1                        
attending                1                        
attract                  1                        
avenuesnorth             1                        
away                     1                        
awe                      1                        
backing                  1                        
bag                      4                        
bake                     1                        
ball                     1                        
barbarous                1                        
barques                  1                        
bathed                   1                        
battery                  1                        
battle                   1                        
be                       16                       
beach                    1                        
bear                     1                        
beating                  1                        
became                   1                        
because                  6                        
bed                      1                        
bedford                  4                        
been                     4                        
before                   7                        
begin                    2                        
behind                   1                        
being                    5                        
believe                  1                        
belted                   1                        
benches                  1                        
besides                  3                        
best                     1                        
better                   2                        
between                  2                        
beyond                   1                        
bill                     1                        
bit                      1                        
bitingly                 1                        
black                    4                        
blackness                2                        
blades                   1                        
bleak                    1                        
blocks                   1                        
bloody                   1                        
blubbering               1                        
blue                     2                        
boardyet                 1                        
body                     1                        
boisterous               1                        
book                     1                        
boots                    2                        
both                     2                        
bound                    1                        
bowsprit                 1                        
box                      1                        
boy                      1                        
boys                     1                        
breakfast                1                        
breathes                 1                        
breezes                  1                        
brief                    1                        
bright                   1                        
brigs                    1                        
bringing                 1                        
broad                    1                        
broiled                  3                        
broiling                 1                        
broom                    1                        
brother                  1                        
brought                  1                        
building                 1                        
bulk                     1                        
bulwarks                 1                        
burnt                    1                        
business                 1                        
but                      25                       
buttered                 1                        
buy                      1                        
by                       12                       
cajoling                 1                        
call                     1                        
called                   1                        
came                     4                        
can                      7                        
candidates               1                        
candle                   2                        
cannot                   2                        
canoes                   1                        
cape                     1                        
captain                  2                        
captains                 1                        
caravan                  1                        
care                     2                        
careless                 1                        
carpet                   3                        
carries                  1                        
carted                   2                        
carthagethe              1                        
castle                   1                        
cataract                 1                        
cato                     1                        
cattle                   1                        
chapel                   1                        
chapter                  9                        
charm                    1                        
chase                    1                        
chattering               1                        
cheap                    1                        
cheapest                 1                        
cheerfully               1                        
cheeriest                1                        
cheerless                1                        
cherish                  1                        
chief                    2                        
china                    1                        
chinks                   1                        
chips                    1                        
choice                   1                        
choked                   1                        
church                   1                        
circulation              1                        
circumambulate           1                        
circumstances            1                        
city                     4                        
climes                   1                        
clinched                 1                        
coals                    1                        
coasts                   1                        
coat                     1                        
cob                      1                        
cobblestonesso           1                        
coenties                 1                        
coffee                   1                        
coffin                   2                        
coffinspouterrather      1                        
cold                     1                        
come                     4                        
comedies                 1                        
commodore                2                        
common                   1                        
commonalty               1                        
compare                  1                        
comparing                1                        
compasses                1                        
conceits                 1                        
concernment              1                        
conclude                 1                        
confess                  1                        
congealed                1                        
connected                1                        
connexion                1                        
conscious                1                        
conservatories           1                        
considerable             1                        
considering              1                        
consign                  1                        
constant                 1                        
content                  2                        
contents                 1                        
contested                1                        
contrary                 1                        
cook                     2                        
cookthough               1                        
cooled                   1                        
copestone                1                        
copy                     1                        
coral                    1                        
corlears                 1                        
corn                     1                        
corner                   1                        
cottage                  1                        
could                    3                        
counterpane              1                        
counters                 1                        
country                  2                        
craft                    2                        
crannies                 1                        
crazy                    1                        
creak                    1                        
creaking                 1                        
creatures                1                        
crossed                  2                        
crowds                   2                        
crucifix                 1                        
cunningly                1                        
curbstone                2                        
curiosity                1                        
czar                     1                        
dale                     1                        
damp                     1                        
dark                     1                        
darkness                 2                        
day                      2                        
days                     1                        
dead                     1                        
dear                     1                        
death                    1                        
december                 1                        
deck                     2                        
decks                    1                        
decoction                1                        
deep                     2                        
deeper                   1                        
deepest                  1                        
degree                   1                        
deity                    1                        
deliberate               1                        
deliberately             1                        
delusion                 1                        
desert                   1                        
deserted                 1                        
desires                  1                        
desks                    1                        
destined                 1                        
destroyed                1                        
dick                     1                        
did                      9                        
didnt                    1                        
difference               2                        
dilapidated              1                        
dim                      2                        
disappointed             1                        
discover                 1                        
discriminating           1                        
disguises                1                        
dismal                   1                        
distant                  2                        
distinction              1                        
district                 1                        
dive                     1                        
dives                    3                        
do                       7                        
docks                    1                        
