Word                     Occurences               
--------------------------------------
a                        68                       
aboard                   1                        
about                    1                        
absence                  2                        
accent                   1                        
accident                 1                        
according                2                        
accounts                 1                        
accurately               1                        
accustomed               1                        
activity                 2                        
added                    3                        
addition                 1                        
advise                   1                        
affairs                  1                        
affected                 1                        
after                    8                        
afterwards               3                        
again                    4                        
against                  2                        
age                      1                        
agent                    2                        
agony                    1                        
ah                       4                        
air                      2                        
alas                     1                        
alexandre                1                        
all                      11                       
allow                    1                        
almost                   1                        
alongside                2                        
already                  2                        
also                     1                        
although                 1                        
always                   4                        
am                       5                        
among                    1                        
an                       6                        
anchor                   3                        
anchoring                2                        
and                      108                      
animation                1                        
another                  2                        
answered                 1                        
anxious                  1                        
any                      4                        
anyone                   3                        
anything                 1                        
apartment                1                        
apparently               1                        
appearance               1                        
appeared                 1                        
appears                  1                        
approach                 1                        
approached               2                        
approaching              1                        
are                      11                       
around                   1                        
arrival                  3                        
as                       29                       
ashore                   3                        
ask                      3                        
asked                    6                        
assumed                  1                        
assure                   1                        
at                       28                       
attach                   1                        
attacked                 1                        
await                    1                        
awaiting                 1                        
away                     2                        
back                     2                        
basin                    1                        
be                       11                       
bear                     1                        
bearer                   1                        
became                   1                        
bed                      1                        
been                     11                       
befallen                 1                        
before                   1                        
beg                      1                        
behind                   1                        
being                    1                        
believe                  4                        
belonged                 1                        
belongs                  1                        
beloved                  1                        
bent                     1                        
bertrand                 1                        
besides                  1                        
bespoke                  1                        
best                     1                        
betrothed                1                        
better                   1                        
between                  3                        
bill                     1                        
black                    1                        
blushed                  1                        
board                    6                        
boat                     1                        
body                     1                        
boom                     1                        
bore                     1                        
bought                   1                        
brail                    1                        
brails                   1                        
brain                    1                        
brave                    2                        
breath                   1                        
bring                    4                        
brow                     1                        
built                    1                        
bulwarks                 1                        
buntlines                1                        
burial                   1                        
business                 1                        
but                      13                       
by                       7                        
cabin                    2                        
calasareigne             1                        
call                     1                        
calling                  1                        
calmness                 1                        
came                     1                        
can                      1                        
canebire                 2                        
canebirea                1                        
cannot                   2                        
cape                     1                        
captain                  17                       
captains                 3                        
care                     1                        
careful                  1                        
cargo                    4                        
catalans                 2                        
caused                   1                        
certainly                1                        
chain                    1                        
chapter                  6                        
character                1                        
charged                  1                        
chi                      1                        
choke                    1                        
chteau                   1                        
city                     1                        
civita                   1                        
clewlines                1                        
climbed                  1                        
close                    1                        
cloud                    1                        
clue                     1                        
cockbill                 1                        
colors                   1                        
come                     7                        
comer                    1                        
comforted                1                        
coming                   2                        
command                  4                        
compagno                 1                        
completed                1                        
composed                 1                        
comrade                  2                        
condition                1                        
confided                 1                        
confidence               1                        
confident                1                        
considerable             1                        
conspiracy               1                        
consulting               1                        
contend                  1                        
content                  1                        
contents                 1                        
continued                3                        
conversation             2                        
conversed                1                        
conveyed                 1                        
copy                     1                        
could                    3                        
count                    2                        
countenance              1                        
course                   1                        
covered                  1                        
cradle                   1                        
credit                   1                        
crew                     4                        
cried                    3                        
cristo                   2                        
cross                    1                        
crowd                    1                        
custom                   2                        
customs                  1                        
dame                     1                        
danger                   1                        
danglars                 18                       
dants                    32                       
dark                     1                        
darting                  1                        
day                      4                        
days                     2                        
de                       1                        
dear                     6                        
delay                    1                        
delighted                1                        
departed                 1                        
deserving                1                        
desired                  1                        
detain                   2                        
detained                 2                        
did                      9                        
