Word                     Occurences               
--------------------------------------
a                        100                      
abandoned                1                        
abhorrent                1                        
able                     1                        
about                    1                        
absolute                 1                        
absolutely               2                        
absorb                   1                        
accent                   1                        
accomplished             1                        
account                  3                        
accustomed               1                        
acquaintance             1                        
across                   3                        
actions                  1                        
active                   1                        
activity                 1                        
added                    1                        
address                  5                        
addressing               1                        
adjusted                 2                        
adler                    4                        
admirable                1                        
admirably                1                        
admit                    1                        
adopted                  1                        
adventure                6                        
adventures               1                        
adventuress              1                        
advise                   1                        
afternoon                1                        
again                    4                        
against                  2                        
agent                    3                        
agitation                1                        
ago                      2                        
akin                     2                        
all                      11                       
almost                   1                        
alone                    1                        
aloud                    1                        
also                     1                        
alternating              1                        
always                   3                        
am                       8                        
ambition                 1                        
amiss                    1                        
among                    1                        
an                       10                       
and                      102                      
another                  1                        
answered                 2                        
anxiety                  1                        
any                      2                        
anything                 1                        
apiece                   1                        
apparent                 1                        
apparently               1                        
appearance               1                        
appeared                 1                        
appears                  1                        
are                      15                       
armchair                 4                        
around                   1                        
arthur                   1                        
as                       23                       
asked                    3                        
associated               1                        
astrakhan                1                        
at                       21                       
atkinson                 1                        
attempt                  1                        
attempts                 1                        
attention                2                        
attitude                 1                        
attracted                1                        
august                   1                        
authenticity             1                        
authoritative            1                        
avenue                   1                        
aware                    3                        
away                     1                        
bachelor                 1                        
back                     2                        
bad                      2                        
baffled                  1                        
bag                      1                        
baker                    2                        
balanced                 1                        
band                     1                        
bands                    1                        
barbaric                 1                        
be                       25                       
beauties                 1                        
beautiful                1                        
became                   1                        
because                  2                        
beeches                  1                        
been                     13                       
before                   4                        
begin                    1                        
begins                   1                        
behind                   1                        
being                    1                        
believe                  1                        
bell                     2                        
beryl                    2                        
best                     1                        
betrothal                1                        
better                   2                        
between                  2                        
beyond                   1                        
binding                  1                        
biography                1                        
bit                      1                        
black                    2                        
blackmailing             1                        
blanche                  1                        
blind                    1                        
blue                     3                        
bohemia                  6                        
bohemian                 3                        
book                     1                        
books                    1                        
boot                     1                        
boots                    1                        
born                     1                        
boscombe                 1                        
boswell                  1                        
both                     4                        
bought                   3                        
boy                      1                        
breasted                 1                        
briefly                  1                        
brilliantly              1                        
brimmed                  1                        
bring                    1                        
briony                   1                        
broad                    2                        
brooch                   1                        
brothers                 1                        
brougham                 2                        
brown                    2                        
bulge                    1                        
burglars                 1                        
buried                   1                        
burned                   1                        
business                 1                        
but                      18                       
by                       14                       
cabinet                  1                        
call                     3                        
called                   1                        
calves                   1                        
came                     2                        
can                      3                        
cant                     1                        
capital                  1                        
carbuncle                1                        
carefully                1                        
careless                 1                        
carelessly               1                        
carlsbad                 1                        
carried                  1                        
carte                    1                        
case                     7                        
cases                    1                        
cassel                   1                        
caught                   1                        
caused                   1                        
centred                  1                        
centuries                1                        
certainly                2                        
certificates             1                        
chair                    2                        
chamber                  2                        
chamois                  1                        
changed                  1                        
character                1                        
chat                     1                        
cheekbones               1                        
chest                    2                        
chin                     1                        
chronicle                1                        
chuckled                 1                        
cigarette                2                        
cigars                   1                        
circumstances            1                        
civil                    1                        
clasped                  1                        
clear                    1                        
clearing                 2                        
client                   2                        
cloak                    2                        
closing                  1                        
clothes                  1                        
clotilde                 1                        
cloud                    1                        
clues                    1                        
clumsy                   1                        
co                       1                        
coat                     1                        
cocaine                  1                        
cold                     1                        
colleague                1                        
coloured                 1                        
come                     2                        
comes                    2                        
commander                1                        
committed                1                        
communicate              1                        
companion                1                        
companions               1                        
company                  1                        
complete                 1                        
completed                1                        
compromise               1                        
compromised              1                        
compromising             1                        
conan                    1                        
conceal                  1                        
concerning               1                        
condescend               1                        
conduct                  1                        
confess                  1                        
confide                  1                        
consisted                1                        
construction             1                        
consult                  2                        
consulting               1                        
contents                 1                        
continental              1                        
continued                2                        
contraction              1                        
contraltohum             1                        
copper                   1                        
corner                   1                        
coronet                  1                        
could                    7                        
count                    3                        
country                  1                        
countryin                1                        
course                   2                        
crack                    1                        
created                  1                        
cried                    1                        
crime                    1                        
crown                    2                        
crusted                  1                        
curb                     1                        
customary                1                        
cuts                     1                        
daily                    1                        
dark                     2                        
data                     2                        
daughter                 1                        
day                      1                        
days                     1                        
dear                     2                        
death                    1                        
deduce                   3                        
deduction                2                        
deep                     3                        
deepest                  1                        
deeply                   1                        
delicacy                 2                        
delicate                 2                        
delicately               1                        
depicted                 1                        
desire                   1                        
desires                  1                        
desirous                 1                        
desperation              1                        
did                      2                        
difficult                1                        
discover                 1                        
discretion               1                        
distinction              1                        
distracting              1                        
disturbing               1                        
diverted                 1                        
do                       17                       
docketing                1                        
doctor                   3                        
does                     1                        
doing                    1                        
doings                   1                        
donna                    1                        
dont                     1                        
door                     2                        
double                   2                        
doubt                    5                        
doubts                   1                        
down                     8                        
doyle                    1                        
dr                       1                        
drawing                  1                        
dreadful                 1                        
dreams                   1                        
dress                    1                        
drifted                  1                        
drop                     1                        
drowsiness               1                        
drug                     2                        
dryly                    1                        
dubious                  1                        
duke                     1                        
dull                     1                        
during                   1                        
e                        1                        
each                     2                        
eagerly                  1                        
ease                     1                        
easily                   1                        
eclipses                 1                        
edges                    1                        
effusive                 1                        
eg                       1                        
eglonitzhere             1                        
eglow                    1                        
egria                    1                        
eight                    1                        
either                   1                        
else                     1                        
emotion                  2                        
emotions                 1                        
employing                1                        
employs                  1                        
end                      2                        
endeavouring             1                        
energetic                1                        
energy                   1                        
engineers                1                        
england                  1                        
english                  1                        
enough                   3                        
entangled                1                        
entered                  2                        
establishment            1                        
europe                   3                        
european                 1                        
even                     1                        
ever                     1                        
every                    3                        
exactly                  1                        
exaggerated              1                        
examined                 1                        
example                  1                        
excuse                   1                        
expenses                 1                        
experiences              1                        
explain                  1                        
explained                1                        
extended                 1                        
extending                1                        
extraordinary            2                        
extreme                  1                        
eye                      1                        
eyes                     8                        
face                     5                        
factor                   1                        
factories                1                        
facts                    3                        
faculties                1                        
fail                     2                        
failed                   1                        
false                    1                        
familiar                 1                        
families                 1                        
family                   2                        
fancy                    1                        
far                      1                        
fashion                  1                        
feet                     1                        
felstein                 1                        
felt                     1                        
few                      1                        
fierce                   1                        
fifty                    1                        
figure                   2                        
finally                  1                        
find                     1                        
finds                    1                        
finely                   1                        
fire                     1                        
firelight                1                        
first                    1                        
fishes                   1                        
five                     3                        
flame                    1                        
flaming                  1                        
follow                   1                        
followed                 1                        
following                1                        
for                      20                       
forefinger               1                        
forehead                 1                        
forgery                  1                        
form                     1                        
former                   1                        
formerly                 1                        
fortunate                1                        
found                    1                        
frenchman                1                        
frequently               2                        
friend                   3                        
from                     20                       
fronts                   1                        
fur                      1                        
furnish                  1                        
g                        3                        
gasogene                 1                        
gazetteer                1                        
gentleman                4                        
german                   6                        
gesellschaft             1                        
gesture                  1                        
getting                  2                        
gibe                     1                        
gigantic                 1                        
girl                     1                        
give                     3                        
given                    1                        
glad                     1                        
glance                   1                        
glanced                  1                        
glancing                 1                        
glass                    1                        
go                       3                        
gold                     1                        
gonone                   1                        
good                     7                        
gottsreich               1                        
grand                    1                        
grating                  1                        
great                    3                        
grit                     1                        
ground                   1                        
grow                     1                        
guineas                  1                        
ha                       2                        
habit                    1                        
had                      20                       
half                     2                        
halfway                  1                        
hall                     1                        
hand                     3                        
handed                   1                        
hands                    2                        
hanging                  1                        
happiness                1                        
hardly                   3                        
harness                  1                        
harsh                    1                        
has                      13                       
hat                      2                        
have                     32                       
he                       48                       
head                     1                        
headed                   1                        
hear                     1                        
heard                    4                        
heavy                    4                        
hebrew                   1                        
height                   1                        
help                     3                        
hence                    1                        
her                      11                       
hercules                 1                        
here                     2                        
hereditary               2                        
herself                  1                        
high                     2                        
him                      7                        
himself                  5                        
his                      61                       
history                  1                        
hold                     1                        
holland                  1                        
holmes                   25                       
home                     2                        
honour                   2                        
hoofs                    1                        
hopeless                 1                        
horses                   1                        
hot                      1                        
hour                     1                        
house                    2                        
houses                   1                        
how                      12                       
however                  1                        
hum                      2                        
hundred                  3                        
hundreds                 1                        
hurled                   1                        
i                        95                       
identity                 1                        
if                       10                       
ii                       1                        
iii                      1                        
imagine                  2                        
imitate                  1                        
imitated                 1                        
immediately              1                        
immense                  2                        
impatiently              1                        
imperial                 1                        
implicates               1                        
importance               4                        
impression               1                        
in                       50                       
inches                   1                        
incidents                1                        
incisive                 1                        
incognito                1                        
incorrigible             1                        
indeed                   6                        
index                    1                        
indicated                1                        
indiscretion             1                        
influence                1                        
information              1                        
insensibly               1                        
inside                   1                        
instance                 1                        
instead                  1                        
instrument               1                        
intended                 1                        
interested               2                        
interesting              1                        
interests                1                        
into                     7                        
introduce                1                        
introspective            1                        
intrusions               1                        
iodoform                 1                        
irene                    4                        
is                       37                       
it                       52                       
its                      1                        
itself                   2                        
iv                       1                        
ix                       1                        
jane                     1                        
jersey                   1                        
johns                    1                        
journey                  1                        
just                     5                        
keen                     2                        
kindly                   2                        
king                     5                        
kingdom                  1                        
kings                    1                        
knew                     2                        
know                     9                        
known                    1                        
kramm                    2                        
la                       1                        
laid                     1                        
langham                  1                        
languid                  1                        
large                    2                        
last                     1                        
late                     1                        
lately                   2                        
laughed                  1                        
laughing                 1                        
lead                     1                        
league                   1                        
leather                  2                        
led                      1                        
left                     1                        
legal                    1                        
length                   1                        
lengths                  1                        
lengthy                  1                        
lenses                   1                        
less                     1                        
let                      3                        
letters                  3                        
light                    1                        
lighting                 1                        
like                     2                        
limbs                    1                        
line                     1                        
lined                    1                        
lip                      2                        
lit                      1                        
little                   7                        
lived                    1                        
living                   1                        
loathed                  1                        
lodge                    1                        
lodgings                 1                        
london                   2                        
londonquite              1                        
long                     2                        
look                     2                        
looked                   5                        
lost                     1                        
lothman                  1                        
loud                     1                        
lounging                 1                        
love                     1                        
lover                    1                        
lower                    1                        
luggage                  1                        
lying                    1                        
machine                  1                        
made                     3                        
mademoiselles            1                        
madinsane                1                        
majesty                  8                        
make                     2                        
maker                    1                        
malignant                1                        
man                      9                        
manner                   2                        
many                     3                        
march                    1                        
mark                     1                        
marked                   1                        
marriage                 2                        
married                  1                        
marry                    1                        
mary                     1                        
mask                     5                        
master                   1                        
matter                   7                        
matters                  2                        
may                      11                       
me                       18                       
means                    1                        
medical                  1                        
member                   1                        
memory                   1                        
men                      2                        
meningen                 1                        
mens                     1                        
mental                   1                        
mention                  1                        
merely                   1                        
mess                     1                        
might                    2                        
mills                    1                        
mind                     4                        
miss                     1                        
mission                  1                        
mistake                  1                        
mistaken                 1                        
moment                   2                        
monday                   1                        
money                    2                        
monogram                 1                        
monograph                1                        
mood                     1                        
more                     5                        
morrow                   1                        
most                     7                        
motives                  1                        
much                     3                        
mud                      1                        
murder                   1                        
murmured                 3                        
must                     6                        
my                       33                       
myself                   3                        
mysteries                1                        
mystery                  2                        
name                     5                        
nature                   2                        
neck                     1                        
nervous                  1                        
never                    2                        
new                      2                        
news                     1                        
next                     1                        
nice                     1                        
night                    3                        
nightit                  1                        
nitrate                  1                        
no                       9                        
noble                    1                        
nobleman                 1                        
none                     4                        
not                      27                       
note                     8                        
notepaper                1                        
notes                    1                        
nothing                  1                        
notice                   1                        
now                      5                        
numerous                 1                        
observation              1                        
observe                  2                        
observed                 2                        
observerexcellent        1                        
observing                1                        
obstinacy                1                        
obviously                1                        
occasionally             1                        
occupied                 1                        
oclock                   2                        
odessa                   1                        
of                       119                      
official                 1                        
often                    1                        
oh                       2                        
old                      1                        
on                       8                        
once                     5                        
one                      15                       
only                     2                        
open                     1                        
opening                  1                        
opera                    1                        
operatic                 1                        
opulence                 1                        
or                       10                       
orange                   1                        
order                    1                        
ormstein                 2                        
other                    5                        
our                      7                        
out                      5                        
outside                  1                        
over                     5                        
own                      10                       
p                        2                        
paced                    1                        
pacing                   1                        
packet                   1                        
pair                     2                        
paper                    8                        
papers                   1                        
papier                   1                        
paragraphs               1                        
parallel                 1                        
part                     3                        
particularly             2                        
pass                     1                        
passage                  1                        
passed                   1                        
passing                  1                        
passions                 1                        
past                     1                        
patient                  1                        
paused                   1                        
pay                      2                        
peculiar                 1                        
peculiarly               1                        
peculiarthat             1                        
perfect                  1                        
person                   5                        
photograph               6                        
pink                     1                        
pips                     1                        
pity                     1                        
placed                   1                        
plainly                  1                        
point                    1                        
police                   1                        
pooh                     2                        
position                 1                        
post                     1                        
pounds                   2                        
power                    2                        
powers                   2                        
practice                 3                        
prague                   1                        
pray                     3                        
precaution               1                        
precise                  1                        
precisely                2                        
predominates             1                        
prefer                   1                        
prefers                  1                        
present                  4                        
press                    1                        
presumably               1                        
pretty                   1                        
prima                    1                        
prince                   1                        
principles               1                        
private                  1                        
problem                  2                        
problems                 1                        
process                  2                        
processes                1                        
proclaimed               1                        
produce                  1                        
profession               1                        
progress                 1                        
