Word                     Occurences               
--------------------------------------
a                        25                       
about                    2                        
achievements             1                        
adjacent                 1                        
after                    2                        
age                      2                        
alive                    1                        
all                      4                        
already                  2                        
america                  1                        
ammunition               1                        
among                    2                        
amount                   1                        
an                       2                        
and                      41                       
announcing               1                        
any                      4                        
apart                    1                        
appearance               1                        
armed                    1                        
arrangements             1                        
as                       6                        
at                       6                        
atheistical              1                        
atrocious                1                        
attained                 1                        
authorities              1                        
awake                    1                        
away                     1                        
ball                     1                        
battles                  1                        
be                       3                        
because                  1                        
been                     2                        
before                   3                        
being                    2                        
belief                   1                        
besides                  1                        
bespattered              1                        
best                     1                        
birthday                 1                        
blessed                  1                        
blunderbusses            1                        
boards                   1                        
boasting                 1                        
body                     1                        
book                     2                        
both                     1                        
boy                      1                        
british                  1                        
brood                    1                        
burglaries               1                        
burned                   1                        
burning                  2                        
busy                     1                        
but                      1                        
by                       12                       
came                     1                        
capital                  1                        
captain                  1                        
carried                  1                        
carts                    1                        
cautioned                1                        
certain                  1                        
challenged               1                        
chapter                  7                        
character                1                        
charles                  1                        
chickens                 1                        
christian                1                        
chronicle                1                        
cities                   1                        
city                     1                        
clearer                  1                        
close                    1                        
cocklane                 2                        
come                     2                        
common                   1                        
communications           1                        
comparison               1                        
conceded                 1                        
conduct                  1                        
congress                 1                        
consequence              1                        
constant                 1                        
contents                 1                        
contraband               1                        
countries                1                        
court                    1                        
creature                 1                        
creatures                1                        
creaturesthe             1                        
criminals                1                        
crosses                  1                        
crown                    1                        
crystal                  1                        
cut                      1                        
daring                   1                        
dark                     1                        
darkness                 1                        
day                      1                        
dead                     2                        
dear                     1                        
death                    2                        
deficient                1                        
degree                   1                        
deliver                  1                        
despair                  1                        
despoiled                1                        
diamond                  1                        
dickens                  1                        
did                      1                        
direct                   2                        
dirty                    1                        
distance                 1                        
divine                   1                        
do                       1                        
door                     1                        
down                     3                        
dozen                    2                        
drawingrooms             1                        
earthly                  1                        
england                  3                        
english                  1                        
enough                   3                        
entertain                1                        
entertained              1                        
environed                1                        
epoch                    2                        
even                     1                        
events                   1                        
ever                     3                        
every                    1                        
everything               1                        
evil                     1                        
exceeding                1                        
face                     2                        
faces                    1                        
failure                  1                        
fair                     2                        
families                 1                        
far                      1                        
farmer                   3                        
farmers                  1                        
fate                     1                        
favoured                 2                        
fellowtradesman          1                        
fifty                    1                        
fired                    3                        
firstrecalled            2                        
fishes                   1                        
fiveandtwentieth         1                        
foolishness              1                        
for                      6                        
forasmuch                1                        
fought                   1                        
four                     1                        
framework                1                        
france                   3                        
french                   1                        
from                     3                        
furniture                1                        
gallantly                1                        
gaols                    1                        
general                  1                        
ghost                    1                        
giless                   1                        
go                       1                        
going                    2                        
good                     1                        
goods                    1                        
got                      1                        
greatnesses              1                        
green                    1                        
growing                  1                        
guard                    1                        
guards                   1                        
guidance                 1                        
had                      10                       
hall                     1                        
hand                     2                        
hands                    1                        
hanging                  1                        
hangman                  1                        
have                     2                        
he                       2                        
head                     1                        
heard                    1                        
heaven                   1                        
heavy                    1                        
her                      3                        
heralded                 1                        
herself                  1                        
high                     1                        
highway                  1                        
highwayman               2                        
hill                     1                        
him                      1                        
himself                  1                        
his                      9                        
history                  1                        
honour                   1                        
hope                     1                        
housebreaker             1                        
human                    1                        
humane                   1                        
hundred                  3                        
i                        2                        
ii                       1                        
iii                      1                        
illustrious              1                        
important                1                        
in                       27                       
incredulity              1                        
insisted                 1                        
into                     2                        
is                       2                        
it                       16                       
its                      3                        
itself                   1                        
iv                       1                        
jaw                      2                        
jaws                     1                        
justify                  1                        
king                     2                        
kneeled                  1                        
knife                    1                        
laid                     1                        
lands                    1                        
large                    3                        
last                     1                        
lately                   1                        
law                      1                        
lay                      1                        
less                     1                        
life                     4                        
light                    2                        
like                     2                        
likely                   2                        
loaded                   1                        
loaves                   1                        
london                   3                        
long                     1                        
lord                     2                        
lords                    2                        
made                     2                        
magnificent              1                        
mail                     3                        
majesty                  1                        
make                     1                        
making                   1                        
marked                   1                        
matters                  1                        
mayor                    1                        
men                      1                        
mere                     1                        
messages                 2                        
midst                    1                        
mire                     1                        
miscellaneous            1                        
mob                      2                        
money                    1                        
monks                    1                        
more                     1                        
movable                  1                        
mrs                      1                        
much                     2                        
muffled                  1                        
murderer                 1                        
musketeers               3                        
myriads                  1                        
national                 1                        
necks                    1                        
newgate                  1                        
night                    2                        
no                       1                        
noble                    1                        
nobody                   1                        
noisiest                 1                        
norway                   1                        
not                      2                        
nothing                  1                        
now                      4                        
occurrences              1                        
of                       57                       
off                      2                        
old                      1                        
on                       9                        
one                      5                        
only                     2                        
or                       2                        
order                    2                        
originality              1                        
other                    3                        
our                      1                        
out                      5                        
outhouses                1                        
pamphlets                1                        
paper                    1                        
paris                    1                        
pass                     1                        
passed                   1                        
past                     1                        
pastors                  1                        
peace                    1                        
people                   2                        
period                   5                        
pigs                     1                        
pilferer                 1                        
pincers                  1                        
place                    1                        
plain                    2                        
potentate                1                        
poultry                  1                        
preparation              1                        
present                  1                        
preserves                1                        
prisoners                1                        
private                  1                        
procession               1                        
prophetic                1                        
protection               1                        
proved                   1                        
publicly                 1                        
put                      1                        
queen                    2                        
race                     1                        
rain                     1                        
rapped                   1                        
rapping                  1                        
rather                   1                        
received                 2                        
recently                 1                        
recognised               1                        
relate                   1                        
removing                 1                        
requisition              1                        
restalong                1                        
retinue                  1                        
revelations              1                        
revolution               2                        
rights                   1                        
roads                    1                        
robbed                   2                        
robberies                1                        
robbers                  1                        
rode                     1                        
rolled                   1                        
roosted                  1                        
rooted                   1                        
rough                    1                        
round                    1                        
rounds                   1                        
rows                     1                        
rude                     1                        
rustic                   1                        
sack                     1                        
saturday                 1                        
sawn                     1                        
scarcely                 1                        
search                   1                        
season                   2                        
security                 1                        
sentencing               1                        
set                      1                        
settled                  1                        
seven                    4                        
seventyfive              3                        
shadows                  1                        
she                      1                        
sheltered                1                        
shield                   1                        
shoemaker                1                        
short                    1                        
shot                     4                        
sight                    1                        
silently                 1                        
sister                   1                        
sixpence                 1                        
sixty                    1                        
small                    1                        
smoothness               1                        
snipped                  1                        
snuffed                  1                        
so                       1                        
some                     3                        
southcott                1                        
spending                 1                        
spirits                  1                        
spiritual                2                        
spring                   1                        
st                       1                        
stand                    1                        
state                    1                        
stir                     1                        
stopped                  1                        
story                    1                        
strange                  1                        
stringing                1                        
subjects                 1                        
sublime                  1                        
such                     1                        
sufferer                 1                        
superlative              1                        
supernaturally           1                        
suspicion                1                        
swallowing               1                        
taken                    1                        
taking                   1                        
tale                     1                        
terrible                 1                        
than                     4                        
that                     13                       
the                      87                       
their                    4                        
theirs                   1                        
them                     6                        
then                     1                        
there                    5                        
these                    2                        
they                     3                        
thieves                  1                        
things                   2                        
this                     3                        
those                    2                        
though                   1                        
thought                  1                        
thousand                 4                        
three                    1                        
throne                   2                        
through                  2                        
thus                     1                        
tillers                  1                        
times                    2                        
to                       25                       
today                    1                        
tomorrow                 1                        
tongue                   1                        
took                     1                        
torn                     1                        
town                     1                        
tradesman                1                        
traitorous               1                        
tread                    1                        
trees                    1                        
trident                  1                        
trod                     1                        
tuesday                  1                        
tumbrils                 1                        
turnham                  1                        
turnkeys                 1                        
two                      3                        
unceasingly              1                        
under                    1                        
unheeded                 1                        
up                       2                        
upholsterers             1                        
upon                     1                        
us                       2                        
useless                  1                        
v                        1                        
very                     2                        
vi                       1                        
view                     1                        
warehouses               1                        
was                      21                       
way                      1                        
wayin                    1                        
waylaid                  1                        
we                       4                        
weather                  1                        
went                     2                        
were                     11                       
westminster              2                        
when                     1                        
which                    4                        
while                    1                        
who                      3                        
whole                    1                        
whom                     2                        
wineshop                 1                        
winter                   1                        
wisdom                   1                        
with                     14                       
within                   1                        
without                  1                        
woodman                  3                        
woods                    1                        
work                     2                        
worked                   1                        
worse                    1                        
worst                    1                        
wretched                 1                        
yards                    1                        
year                     4                        
years                    1                        
yet                      1                        
youth                    1                        
