Word                     Occurences               
--------------------------------------
a                        78                       
able                     1                        
about                    14                       
above                    3                        
absentminded             1                        
absolutely               2                        
abstractions             1                        
accelerate               1                        
accept                   1                        
accepted                 2                        
acceptedis               1                        
accession                1                        
account                  2                        
accumulate               1                        
action                   1                        
admired                  1                        
admit                    2                        
adroitly                 1                        
affair                   1                        
after                    4                        
afterdinner              1                        
again                    1                        
against                  2                        
age                      1                        
ago                      2                        
ahead                    1                        
air                      2                        
alert                    1                        
all                      17                       
almost                   2                        
aloft                    1                        
along                    5                        
also                     2                        
always                   4                        
am                       3                        
an                       13                       
anachronisms             1                        
ancestors                1                        
and                      84                       
andduration              1                        
anecdote                 1                        
angles                   2                        
animal                   1                        
animated                 1                        
another                  6                        
any                      9                        
anyhow                   1                        
anything                 1                        
anywhere                 1                        
apparatus                1                        
appearance               1                        
appears                  1                        
appreciate               1                        
are                      16                       
argument                 1                        
argumentative            1                        
armchair                 1                        
as                       16                       
ask                      1                        
asked                    2                        
askew                    1                        
asking                   1                        
assimilation             1                        
at                       27                       
atmosphere               1                        
attention                1                        
attract                  1                        
away                     2                        
back                     6                        
backward                 1                        
balloon                  1                        
balloons                 2                        
bar                      1                        
bare                     1                        
barometer                1                        
bars                     1                        
basis                    1                        
battle                   1                        
be                       11                       
beautifully              1                        
became                   2                        
because                  2                        
become                   1                        
been                     7                        
before                   4                        
began                    4                        
begin                    2                        
beginning                1                        
beheld                   1                        
behind                   2                        
being                    3                        
believe                  1                        
below                    1                        
bench                    1                        
beside                   1                        
better                   2                        
between                  3                        
big                      1                        
bit                      1                        
black                    1                        
blown                    1                        
body                     2                        
brainweary               1                        
brass                    2                        
breadth                  3                        
breath                   1                        
bright                   1                        
brightening              1                        
brightly                 1                        
brilliantly              1                        
broad                    1                        
brows                    1                        
bubbles                  1                        
bullet                   1                        
burnt                    1                        
burslem                  1                        
but                      21                       
by                       5                        
call                     2                        
came                     3                        
can                      12                       
candles                  2                        
candlesticks             1                        
cannot                   6                        
carefully                1                        
caressed                 1                        
case                     1                        
caught                   2                        
certain                  2                        
certainly                4                        
chair                    2                        
chairs                   1                        
changed                  1                        
cheerfully               1                        
cheerfulness             1                        
christmas                1                        
cigar                    2                        
civilised                1                        
clear                    1                        
clearly                  2                        
clock                    1                        
coal                     1                        
collapsed                1                        
common                   1                        
communistic              1                        
complete                 1                        
conceived                1                        
conclude                 1                        
conditions               1                        
conjuror                 1                        
consciousness            2                        
construct                1                        
contented                1                        
contents                 1                        
continued                1                        
controvert               1                        
convenient               2                        
convince                 1                        
corridor                 1                        
could                    4                        
course                   5                        
cradle                   1                        
creates                  1                        
cried                    2                        
crystal                  1                        
crystalline              2                        
cube                     3                        
curious                  1                        
damned                   1                        
dance                    1                        
darkness                 1                        
dear                     1                        
deep                     1                        
definable                1                        
delicately               1                        
